method,resume_index,rank,resume_id,resume_category,resume_text_preview,job_id,job_title,job_categories,job_skills,score,relevant
Hybrid Fine-tuned SBERT + Skill Overlap,167,1,46349752,HEALTHCARE,registered nurse professional summary to improve the wellbeing of the patients i serve and to manage illness with skill and compassion to provide a safe and therapeutic environment to all patients and families through assessment and critical thinking to anticipate potential problems to enhance and s,3901958473,"Licensed Practical Nurse (LPN) -Strabane Woods of Washington - Washington, PA (Part-Time)",HEALTHCARE,Other,0.8326385307312012,True
Hybrid Fine-tuned SBERT + Skill Overlap,45,1,16203589,CONSTRUCTION,project construction manager summary experienced project manager with auto cad background executing luxury custom residential projects from bidding to completion maintaining industry leading quality standards and implementing cad technologies for major capability gains. highly skilled in leading cro,3886450754,Construction Manager,CONSTRUCTION,"Management, Manufacturing",0.8665113687515259,True
Hybrid Fine-tuned SBERT + Skill Overlap,276,1,11616482,TEACHER,guest teacher professional overview a detail oriented high energy social science teacher with the ability to motivate students to work at optimum levels while maintaining a comfortable creative environment and keeping a clear perspective of goals to be accomplished. experience in helping students br,3904396112,5th Grade Teacher: Uplift Mighty Primary (24-25),TEACHER,"Education, Training",0.8014168429374695,True
Hybrid Fine-tuned SBERT + Skill Overlap,75,1,69155584,SALES,sales associate skills motivated seller customer service oriented attention to detail quick learner retains information with ease commitment to professionalism persuasive communicator summary motivated strategic sales professional with three years of experience. focused driven and detail oriented wi,3901694883,Sales Assistant Manager,SALES,"Customer Service, Sales, Training",0.8438580155372619,True
Hybrid Fine-tuned SBERT + Skill Overlap,318,1,14491649,ACCOUNTANT,accountant summary flexible accountant who adapts seamlessly to constantly evolving accounting processes and technology. seasoned staff accountant with ten year background in accounting. core competencies include detailed oriented organized and as well as excellent communication and time management ,3903814954,Accountant,"ACCOUNTANT, FINANCE","Accounting/Auditing, Finance",0.8324464689601552,True
Hybrid Fine-tuned SBERT + Skill Overlap,253,1,27126818,TEACHER,history teacher experience history teacher 08 2006 to current company name city state seventh grade world history teacher at southwest middle school chatham county savannah ga. instruct four inclusion class. students have diverse academic backgrounds. charge with teaching georgia history geography c,3895527286,Middle School History Teacher,TEACHER,Education,0.7807381987571717,True
Hybrid Fine-tuned SBERT + Skill Overlap,35,1,14900898,CONSTRUCTION,construction manager summary energetic construction manager consistently involved in all facets of the project. extremely knowledgeable in pipe lines gas and oil facility s and mining industry regulations and construction providing expert direction in all aspects of contract construction. strong lea,3905201167,Federal Construction Superintendent,CONSTRUCTION,Management,0.8923292875289917,True
Hybrid Fine-tuned SBERT + Skill Overlap,14,1,73077810,HR,hr generalist recruiter summary human resource generalist who is an great communicator and negotiator with strong conflict resolution skills. extensive background in recruitment and retention mediation and records management. highlights adp people fluent microsoft offices interviewing expertise perf,3894664659,Human Resources Generalist,HR,"Administrative, Human Resources",0.8225468754768371,True
Hybrid Fine-tuned SBERT + Skill Overlap,300,1,18640927,FINANCE,finance manager summary ability to communicate effectively to customers management and staff. establish rapport with clients from diverse socio economic and ethnic backgrounds. ability to deal with crisis in a calm professional manner. highlights team leadership accomplished in relationship selling ,3895231031,Finance Manager,"FINANCE, SALES","Finance, Sales",0.833725004196167,True
Hybrid Fine-tuned SBERT + Skill Overlap,278,1,15602094,CONSULTANT,it consultant professional summary talented it professional specializing in leading high performing and multi disciplinary teams from product development through successful product launches. accustomed to managing multiple projects and priorities in fast paced environments. skills database design ex,3899530152,Identity Management Consultant,"INFORMATION-TECHNOLOGY, CONSULTANT",Information Technology,0.8288556456565856,True
